id,param,value
test0001,maximum_leaf_wetted_fraction,0.01
test0002,interception_fraction,0.5
test0003,upplim_destruct_metamorph,100
test0004,r_mort,"0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.016,0.02,0.02"
test0005,wc2wjb0,"0.8054,0.8054,0.7,0.8054,0.8054,0.8054,0.8054,0.8054,0.8054,0.8054,0.8054,0.8054,0.8054,0.8054,0.8054,0.8054,0.8054"
test0006,akn_active,"0,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,0.48,1.08,1.08"
test0007,akn_active,"0,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,0.60,1.08,1.08"
test0008,akn_active,"0,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,0.72,1.08,1.08"
test0009,akn_active,"0,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,0.84,1.08,1.08"
test0010,akn_active,"0,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,0.96,1.08,1.08"
test0011,jmaxb0,"0,0.02055,0.0217,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055"
test0012,jmaxb0,"0,0.02055,0.02325,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055"
test0013,jmaxb0,"0,0.02055,0.0248,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055"
test0014,jmaxb0,"0,0.02055,0.02635,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055"
test0015,jmaxb0,"0,0.02055,0.0279,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055"
test0016,jmaxb1,"0,0.05,0.068,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05"
test0017,jmaxb1,"0,0.05,0.085,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05"
test0018,jmaxb1,"0,0.05,0.102,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05"
test0019,jmaxb1,"0,0.05,0.119,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05"
test0020,jmaxb1,"0,0.05,0.136,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05"
test0021,leafcn,"0,95.83,88.45,95.83,95.83,95.83,95.83,95.83,95.83,95.83,95.83,95.83,95.83,95.83,95.83,95.83,95.83"
test0022,leafcn,"0,95.83,89.93,95.83,95.83,95.83,95.83,95.83,95.83,95.83,95.83,95.83,95.83,95.83,95.83,95.83,95.83"
test0023,leafcn,"0,95.83,91.40,95.83,95.83,95.83,95.83,95.83,95.83,95.83,95.83,95.83,95.83,95.83,95.83,95.83,95.83"
test0024,leafcn,"0,95.83,92.88,95.83,95.83,95.83,95.83,95.83,95.83,95.83,95.83,95.83,95.83,95.83,95.83,95.83,95.83"
test0025,leafcn,"0,95.83,94.35,95.83,95.83,95.83,95.83,95.83,95.83,95.83,95.83,95.83,95.83,95.83,95.83,95.83,95.83"
